苏州电信外网,#genre#
动漫秀场,http://192.168.1.188:6800/rtp/239.49.0.33:8256
乐游,http://192.168.1.188:6800/rtp/239.49.0.35:8272
法治天地,http://192.168.1.188:6800/rtp/239.49.0.36:8280
游戏风云,http://192.168.1.188:6800/rtp/239.49.0.40:8312
生活时尚,http://192.168.1.188:6800/rtp/239.49.0.46:8360
东方卫视,http://192.168.1.188:6800/rtp/239.49.0.48:8376
北京卫视,http://192.168.1.188:6800/rtp/239.49.0.49:8384
浙江卫视,http://192.168.1.188:6800/rtp/239.49.0.50:8392
辽宁卫视,http://192.168.1.188:6800/rtp/239.49.0.51:8400
安徽卫视,http://192.168.1.188:6800/rtp/239.49.0.52:8408
山东卫视,http://192.168.1.188:6800/rtp/239.49.0.53:8416
湖南卫视,http://192.168.1.188:6800/rtp/239.49.0.54:8424
广东卫视,http://192.168.1.188:6800/rtp/239.49.0.55:8432
广西卫视,http://192.168.1.188:6800/rtp/239.49.0.56:8440
海南卫视,http://192.168.1.188:6800/rtp/239.49.0.57:8448
重庆卫视,http://192.168.1.188:6800/rtp/239.49.0.58:8456
四川卫视,http://192.168.1.188:6800/rtp/239.49.0.59:8464
河南卫视,http://192.168.1.188:6800/rtp/239.49.0.60:8472
东南卫视,http://192.168.1.188:6800/rtp/239.49.0.61:8480
天津卫视,http://192.168.1.188:6800/rtp/239.49.0.62:8488
江西卫视,http://192.168.1.188:6800/rtp/239.49.0.63:8496
湖北卫视,http://192.168.1.188:6800/rtp/239.49.0.64:8504
吉林卫视,http://192.168.1.188:6800/rtp/239.49.0.65:8512
黑龙江卫视,http://192.168.1.188:6800/rtp/239.49.0.66:8520
山西卫视,http://192.168.1.188:6800/rtp/239.49.0.67:8528
贵州卫视,http://192.168.1.188:6800/rtp/239.49.0.68:8536
CETV1,http://192.168.1.188:6800/rtp/239.49.0.70:8552
中国气象,http://192.168.1.188:6800/rtp/239.49.0.76:8600
深圳卫视,http://192.168.1.188:6800/rtp/239.49.0.100:8788
云南卫视,http://192.168.1.188:6800/rtp/239.49.0.147:8000
河北卫视,http://192.168.1.188:6800/rtp/239.49.0.170:8000
宁夏卫视,http://192.168.1.188:6800/rtp/239.49.0.171:8000
甘肃卫视,http://192.168.1.188:6800/rtp/239.49.0.172:8000
