苏州电信外网,#genre#
央广购物HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.39:8000
第一财经HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.37:8000
直播室108,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.58:9334
直播室109,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.59:9338
直播室110,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.60:9342
直播室111,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.61:9346
新疆卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.178:8000
内蒙古卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.180:8000
西藏卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.245:8000
三沙卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.165:8000
电视指南,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.161:9282
风云足球,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.153:9218
高尔夫网球,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.154:9226
世界地理,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.155:9234
兵器科技,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.160:9274
风云剧场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.152:9210
央视精品,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.156:9242
央视怀旧剧场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.157:9250
风云音乐,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.151:9202
女性时尚,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.159:9266
快乐垂钓HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.114:8000
先锋乒羽,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.145:8000
茶HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.146:8000
梨园HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.193:8000
武术世界HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.205:8000
文物宝库HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.209:8000
苏州生活资讯,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.116:8000
直播室208,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.140:9350
直播室209,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.141:9354
直播室210,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.142:9358
直播室211,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.143:9362
精彩推荐,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.190:9458
陕西卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.233:8000
大湾区卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.234:8000
山东教育卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.235:8000
直播室101,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.21:9136
直播室102,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.22:9128
直播室103,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.23:9120
直播室104,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.24:9112
直播室105,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.25:9104
直播室106,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.26:9096
直播室107,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.27:9088
直播室201,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.135:9072
直播室202,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.134:9064
直播室203,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.133:9056
直播室204,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.132:9048
直播室205,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.131:9040
直播室206,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.130:9032
直播室207,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.129:9024
生活时尚HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.40:8004
游戏风云HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.41:8012
动漫秀场HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.43:8028
乐游HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.44:8036
都市剧场HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.45:8044
欢笑剧场HD,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.47:8060
CCTV1,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.1:8000
CCTV2,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.2:8008
CCTV3,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.3:9566
CCTV4,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.4:8024
CCTV5,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.5:9570
CCTV6,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.6:9574
CCTV7,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.126:8000
CCTV8,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.8:9578
CCTV10,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.10:8072
CCTV11,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.11:8080
CCTV12,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.12:8088
CCTV新闻,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.13:8096
CCTV少儿,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.14:8104
CCTV音乐,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.15:8112
CGTN,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.9:8064
CCTV17,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.7:8048
江苏卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.16:8120
江苏城市,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.17:8128
江苏综艺,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.18:8136
江苏体育休闲,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.19:8144
江苏影视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.20:8152
优漫卡通,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.21:8160
江苏新闻,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.149:9186
江苏国际,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.22:8168
好享购物,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.103:8000
江苏教育,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.23:8176
环球购物,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.212:8000
家有购物,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.124:8000
央广购物,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.110:9014
财富天下,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.166:9322
欢笑剧场4K,http://www.xinhuaifeiyang.top:6800/rtp/239.49.8.106:8000
第一财经,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.30:8232
金色学堂,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.31:8240
都市剧场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.32:8248
动漫秀场,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.33:8256
乐游,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.35:8272
法治天地,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.36:8280
游戏风云,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.40:8312
生活时尚,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.46:8360
东方卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.48:8376
北京卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.49:8384
浙江卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.50:8392
辽宁卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.51:8400
安徽卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.52:8408
山东卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.53:8416
湖南卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.54:8424
广东卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.55:8432
广西卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.56:8440
海南卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.57:8448
重庆卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.58:8456
四川卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.59:8464
河南卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.60:8472
东南卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.61:8480
天津卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.62:8488
江西卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.63:8496
湖北卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.64:8504
吉林卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.65:8512
黑龙江卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.66:8520
山西卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.67:8528
贵州卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.68:8536
CETV1,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.70:8552
中国气象,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.76:8600
深圳卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.100:8788
云南卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.147:8000
河北卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.170:8000
宁夏卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.171:8000
甘肃卫视,http://www.xinhuaifeiyang.top:6800/rtp/239.49.0.172:8000
苏州电信内网,#genre#
CCTV1HD,http://192.168.1.188:6800/rtp/239.49.8.19:9614
CCTV2HD,http://192.168.1.188:6800/rtp/239.49.8.50:9802
CCTV3HD,http://192.168.1.188:6800/rtp/239.49.0.28:8000
CCTV4HD,http://192.168.1.188:6800/rtp/239.49.8.51:9806
CCTV5HD,http://192.168.1.188:6800/rtp/239.49.0.29:8000
CCTV6HD,http://192.168.1.188:6800/rtp/239.49.0.73:8000
CCTV7HD,http://192.168.1.188:6800/rtp/239.49.0.126:8000
CCTV8HD,http://192.168.1.188:6800/rtp/239.49.0.79:8000
CCTV9HD,http://192.168.1.188:6800/rtp/239.49.8.53:9814
CCTV10HD,http://192.168.1.188:6800/rtp/239.49.8.54:9818
CCTV11HD,http://192.168.1.188:6800/rtp/239.49.0.127:8000
CCTV12HD,http://192.168.1.188:6800/rtp/239.49.8.55:9822
CCTV13HD,http://192.168.1.188:6800/rtp/239.49.8.109:8000
CCTV14HD,http://192.168.1.188:6800/rtp/239.49.8.56:9826
CCTV音乐HD,http://192.168.1.188:6800/rtp/239.49.0.128:8000
CCTV16HD,http://192.168.1.188:6800/rtp/239.49.8.31:8000
CCTV17HD,http://192.168.1.188:6800/rtp/239.49.8.52:9810
CCTV5HD,http://192.168.1.188:6800/rtp/239.49.8.18:9610
CCTV164K（SDR）,http://192.168.1.188:6800/rtp/239.49.0.109:8000
CGTN俄语HD,http://192.168.1.188:6800/rtp/239.49.0.111:8000
江苏卫视HD,http://192.168.1.188:6800/rtp/239.49.8.16:9602
江苏城市HD,http://192.168.1.188:6800/rtp/239.49.8.107:8000
江苏综艺HD,http://192.168.1.188:6800/rtp/239.49.8.108:8000
江苏体育休闲HD,http://192.168.1.188:6800/rtp/239.49.8.117:8000
江苏影视HD,http://192.168.1.188:6800/rtp/239.49.8.118:8000
优漫卡通HD,http://192.168.1.188:6800/rtp/239.49.8.119:8000
好享购物HD,http://192.168.1.188:6800/rtp/239.49.8.121:8000
江苏教育HD,http://192.168.1.188:6800/rtp/239.49.8.122:8000
广西卫视HD,http://192.168.1.188:6800/rtp/239.49.8.10:8000
天津卫视HD,http://192.168.1.188:6800/rtp/239.49.8.35:8620
浙江卫视HD,http://192.168.1.188:6800/rtp/239.49.8.20:9618
重庆卫视HD,http://192.168.1.188:6800/rtp/239.49.8.57:9830
环球购物HD,http://192.168.1.188:6800/rtp/239.49.8.123:8000
辽宁卫视HD,http://192.168.1.188:6800/rtp/239.49.8.48:8000
海南卫视HD,http://192.168.1.188:6800/rtp/239.49.8.83:8000
四川卫视HD,http://192.168.1.188:6800/rtp/239.49.8.110:8000
江西卫视HD,http://192.168.1.188:6800/rtp/239.49.8.111:8000
东南卫视HD,http://192.168.1.188:6800/rtp/239.49.8.112:8000
吉林卫视HD,http://192.168.1.188:6800/rtp/239.49.8.113:8000
河北卫视HD,http://192.168.1.188:6800/rtp/239.49.8.114:8000
东方卫视HD,http://192.168.1.188:6800/rtp/239.49.8.17:9606
北京卫视HD,http://192.168.1.188:6800/rtp/239.49.8.11:9414
湖南卫视HD,http://192.168.1.188:6800/rtp/239.49.8.12:9418
广东卫视HD,http://192.168.1.188:6800/rtp/239.49.8.13:9422
黑龙江卫视HD,http://192.168.1.188:6800/rtp/239.49.8.14:9426
深圳卫视HD,http://192.168.1.188:6800/rtp/239.49.8.15:9430
云南卫视HD,http://192.168.1.188:6800/rtp/239.49.0.177:8000
山东卫视HD,http://192.168.1.188:6800/rtp/239.49.8.7:9306
CETV1HD,http://192.168.1.188:6800/rtp/239.49.8.115:8000
贵州卫视HD,http://192.168.1.188:6800/rtp/239.49.8.49:8000
安徽卫视HD,http://192.168.1.188:6800/rtp/239.49.8.80:8000
湖北卫视HD,http://192.168.1.188:6800/rtp/239.49.8.8:9632
CETV4HD,http://192.168.1.188:6800/rtp/239.49.0.125:8000
河南卫视HD,http://192.168.1.188:6800/rtp/239.49.8.29:8000
三沙卫视HD,http://192.168.1.188:6800/rtp/239.49.0.167:8000
甘肃卫视HD,http://192.168.1.188:6800/rtp/239.49.0.250:8000
金鹰纪实HD,http://192.168.1.188:6800/rtp/239.49.8.79:8000
电视指南HD,http://192.168.1.188:6800/rtp/239.49.8.84:8000
风云足球HD,http://192.168.1.188:6800/rtp/239.49.8.85:8000
高尔夫网球HD,http://192.168.1.188:6800/rtp/239.49.8.86:8000
世界地理HD,http://192.168.1.188:6800/rtp/239.49.8.87:8000
兵器科技HD,http://192.168.1.188:6800/rtp/239.49.8.88:8000
风云剧场HD,http://192.168.1.188:6800/rtp/239.49.8.89:8000
央视精品HD,http://192.168.1.188:6800/rtp/239.49.8.90:8000
央视怀旧剧场HD,http://192.168.1.188:6800/rtp/239.49.8.91:8000
风云音乐HD,http://192.168.1.188:6800/rtp/239.49.8.92:8000
女性时尚HD,http://192.168.1.188:6800/rtp/239.49.8.93:8000
央视台球HD,http://192.168.1.188:6800/rtp/239.49.8.32:8000
金鹰卡通HD,http://192.168.1.188:6800/rtp/239.49.8.33:8000
江苏新闻HD,http://192.168.1.188:6800/rtp/239.49.8.120:8000
空中课堂,http://192.168.1.188:6800/rtp/239.49.0.72:8568
青海卫视,http://192.168.1.188:6800/rtp/239.49.0.69:8544
CETV2,http://192.168.1.188:6800/rtp/239.49.0.71:8560
央广购物HD,http://192.168.1.188:6800/rtp/239.49.0.39:8000
第一财经HD,http://192.168.1.188:6800/rtp/239.49.8.37:8000
直播室108,http://192.168.1.188:6800/rtp/239.49.8.58:9334
直播室109,http://192.168.1.188:6800/rtp/239.49.8.59:9338
直播室110,http://192.168.1.188:6800/rtp/239.49.8.60:9342
直播室111,http://192.168.1.188:6800/rtp/239.49.8.61:9346
新疆卫视,http://192.168.1.188:6800/rtp/239.49.0.178:8000
内蒙古卫视,http://192.168.1.188:6800/rtp/239.49.0.180:8000
西藏卫视,http://192.168.1.188:6800/rtp/239.49.0.245:8000
三沙卫视,http://192.168.1.188:6800/rtp/239.49.0.165:8000
电视指南,http://192.168.1.188:6800/rtp/239.49.0.161:9282
风云足球,http://192.168.1.188:6800/rtp/239.49.0.153:9218
高尔夫网球,http://192.168.1.188:6800/rtp/239.49.0.154:9226
世界地理,http://192.168.1.188:6800/rtp/239.49.0.155:9234
兵器科技,http://192.168.1.188:6800/rtp/239.49.0.160:9274
风云剧场,http://192.168.1.188:6800/rtp/239.49.0.152:9210
央视精品,http://192.168.1.188:6800/rtp/239.49.0.156:9242
央视怀旧剧场,http://192.168.1.188:6800/rtp/239.49.0.157:9250
风云音乐,http://192.168.1.188:6800/rtp/239.49.0.151:9202
女性时尚,http://192.168.1.188:6800/rtp/239.49.0.159:9266
快乐垂钓HD,http://192.168.1.188:6800/rtp/239.49.0.114:8000
先锋乒羽,http://192.168.1.188:6800/rtp/239.49.0.145:8000
茶HD,http://192.168.1.188:6800/rtp/239.49.0.146:8000
梨园HD,http://192.168.1.188:6800/rtp/239.49.8.193:8000
武术世界HD,http://192.168.1.188:6800/rtp/239.49.0.205:8000
文物宝库HD,http://192.168.1.188:6800/rtp/239.49.0.209:8000
苏州生活资讯,http://192.168.1.188:6800/rtp/239.49.8.116:8000
直播室208,http://192.168.1.188:6800/rtp/239.49.0.140:9350
直播室209,http://192.168.1.188:6800/rtp/239.49.0.141:9354
直播室210,http://192.168.1.188:6800/rtp/239.49.0.142:9358
直播室211,http://192.168.1.188:6800/rtp/239.49.0.143:9362
精彩推荐,http://192.168.1.188:6800/rtp/239.49.0.190:9458
陕西卫视,http://192.168.1.188:6800/rtp/239.49.0.233:8000
大湾区卫视,http://192.168.1.188:6800/rtp/239.49.0.234:8000
山东教育卫视,http://192.168.1.188:6800/rtp/239.49.0.235:8000
直播室101,http://192.168.1.188:6800/rtp/239.49.8.21:9136
直播室102,http://192.168.1.188:6800/rtp/239.49.8.22:9128
直播室103,http://192.168.1.188:6800/rtp/239.49.8.23:9120
直播室104,http://192.168.1.188:6800/rtp/239.49.8.24:9112
直播室105,http://192.168.1.188:6800/rtp/239.49.8.25:9104
直播室106,http://192.168.1.188:6800/rtp/239.49.8.26:9096
直播室107,http://192.168.1.188:6800/rtp/239.49.8.27:9088
直播室201,http://192.168.1.188:6800/rtp/239.49.0.135:9072
直播室202,http://192.168.1.188:6800/rtp/239.49.0.134:9064
直播室203,http://192.168.1.188:6800/rtp/239.49.0.133:9056
直播室204,http://192.168.1.188:6800/rtp/239.49.0.132:9048
直播室205,http://192.168.1.188:6800/rtp/239.49.0.131:9040
直播室206,http://192.168.1.188:6800/rtp/239.49.0.130:9032
直播室207,http://192.168.1.188:6800/rtp/239.49.0.129:9024
生活时尚HD,http://192.168.1.188:6800/rtp/239.49.8.40:8004
游戏风云HD,http://192.168.1.188:6800/rtp/239.49.8.41:8012
动漫秀场HD,http://192.168.1.188:6800/rtp/239.49.8.43:8028
乐游HD,http://192.168.1.188:6800/rtp/239.49.8.44:8036
都市剧场HD,http://192.168.1.188:6800/rtp/239.49.8.45:8044
欢笑剧场HD,http://192.168.1.188:6800/rtp/239.49.8.47:8060
CCTV1,http://192.168.1.188:6800/rtp/239.49.0.1:8000
CCTV2,http://192.168.1.188:6800/rtp/239.49.0.2:8008
CCTV3,http://192.168.1.188:6800/rtp/239.49.0.3:9566
CCTV4,http://192.168.1.188:6800/rtp/239.49.0.4:8024
CCTV5,http://192.168.1.188:6800/rtp/239.49.0.5:9570
